baseline,gain,offset,record,side,signal,trial
129.9999999999891,0.8035714285715069,100,Amit_1,R,Channel 5,14
48.0,1.0,80,Amit_1,R,Channel 6,14
46.0,1.0,60,Amit_1,R,Channel 7,14
36.0,1.0,40,Amit_1,R,Channel 8,14
11.619999999999871,2.5,400,Amit_1,R,CoP,14
932.9999999997199,0.08,380,Amit_1,R,vGRF,14
38.0,0.8235294117647962,200,Amit_1,L,Channel 1,15
22.99999999999727,1.0,170,Amit_1,L,Channel 2,15
44.0,1.0,145,Amit_1,L,Channel 3,15
0.0,1.0,120,Amit_1,L,Channel 4,15
43.0,1.0,100,Amit_1,L,Channel 5,15
47.0,1.0,80,Amit_1,L,Channel 6,15
7.0,1.0,60,Amit_1,L,Channel 7,15
40.00000000000091,0.7499999999999829,40,Amit_1,L,Channel 8,15
13.790000000000072,2.5,400,Amit_1,L,CoP,15
1166.9649999999958,0.049260737081386084,380,Amit_1,L,vGRF,15
0.0,0.7446808510671966,200,Amit_1,R,Channel 1,15
39.0,0.3744493392070537,170,Amit_1,R,Channel 2,15
35.99999999998727,1.0,145,Amit_1,R,Channel 3,15
42.0,1.0,120,Amit_1,R,Channel 4,15
149.0000000000009,0.7826086956521859,100,Amit_1,R,Channel 5,15
50.000000000010004,1.0,80,Amit_1,R,Channel 6,15
50.999999999993626,1.0,60,Amit_1,R,Channel 7,15
39.0,1.0,40,Amit_1,R,Channel 8,15
11.200000000000163,2.5,400,Amit_1,R,CoP,15
1002.9999999999272,0.06692160611884249,380,Amit_1,R,vGRF,15
40.0,0.7650273224047065,200,Amit_1,L,Channel 1,16
29.999999999980904,1.0,170,Amit_1,L,Channel 2,16
45.0,1.0,145,Amit_1,L,Channel 3,16
0.0,1.0,120,Amit_1,L,Channel 4,16
44.0,1.0,100,Amit_1,L,Channel 5,16
57.00000000001455,1.0,80,Amit_1,L,Channel 6,16
29.0,1.0,60,Amit_1,L,Channel 7,16
