baseline,gain,offset,record,side,signal,trial
133.99999999999181,1.0,120,sir_1,L,Channel 4,9
130.0000000000025,1.0,100,sir_1,L,Channel 5,9
113.0,0.9722222222222222,80,sir_1,L,Channel 6,9
32.0,1.0,60,sir_1,L,Channel 7,9
190.0,0.17964071856290942,40,sir_1,L,Channel 8,9
15.54,2.5,400,sir_1,L,CoP,9
2358.790000000007,0.03890661301260372,380,sir_1,L,vGRF,9
138.00000000000318,0.972222222222246,200,sir_1,R,Channel 1,9
290.0,0.6250000000000286,170,sir_1,R,Channel 2,9
151.0,1.0,145,sir_1,R,Channel 3,9
162.0000000000009,0.8870967741935418,120,sir_1,R,Channel 4,9
349.0,0.4838709677419355,100,sir_1,R,Channel 5,9
285.0,0.30837004405286345,80,sir_1,R,Channel 6,9
275.0,0.24509803921568693,60,sir_1,R,Channel 7,9
281.00000000000045,0.12448132780083201,40,sir_1,R,Channel 8,9
9.26,2.5,400,sir_1,R,CoP,9
1366.999999999999,0.041322314049587375,380,sir_1,R,vGRF,9
71.99999999999454,1.0,200,sir_1,L,Channel 1,10
108.00000000000819,1.0,170,sir_1,L,Channel 2,10
52.0,1.0,145,sir_1,L,Channel 3,10
140.0,0.9243697478992853,120,sir_1,L,Channel 4,10
141.0,0.9574468085106472,100,sir_1,L,Channel 5,10
112.99999999999818,1.0,80,sir_1,L,Channel 6,10
34.999999999990905,1.0,60,sir_1,L,Channel 7,10
177.000000000005,0.18867924528301502,40,sir_1,L,Channel 8,10
15.94,2.5,400,sir_1,L,CoP,10
2329.1700000000014,0.03928479229569213,380,sir_1,L,vGRF,10
130.0,1.0,200,sir_1,R,Channel 1,10
235.0,0.7960199004975125,170,sir_1,R,Channel 2,10
91.0,0.8705357142857143,145,sir_1,R,Channel 3,10
102.00000000000637,1.0,120,sir_1,R,Channel 4,10
299.0,0.6338028169014085,100,sir_1,R,Channel 5,10
165.99999999999773,0.6306306306306637,80,sir_1,R,Channel 6,10
219.0,0.3546099290780142,60,sir_1,R,Channel 7,10
296.0,0.11764705882352941,40,sir_1,R,Channel 8,10
9.370000000000017,2.5,400,sir_1,R,CoP,10
1360.0000000000005,0.04191616766470878,380,sir_1,R,vGRF,10
63.0,0.9395973154362438,200,sir_1,L,Channel 1,11
91.50000000000045,1.0,170,sir_1,L,Channel 2,11
49.00000000000546,1.0,145,sir_1,L,Channel 3,11
130.0,1.0,120,sir_1,L,Channel 4,11
118.0,1.0,100,sir_1,L,Channel 5,11
116.0,0.958904109589041,80,sir_1,L,Channel 6,11
33.99999999999727,1.0,60,sir_1,L,Channel 7,11
178.0,0.18404907975460483,40,sir_1,L,Channel 8,11
16.06,2.5,400,sir_1,L,CoP,11
2335.1299999999997,0.041025881470374954,380,sir_1,L,vGRF,11
93.0,0.8139534883721014,200,sir_1,R,Channel 1,11
210.0,0.8333333333335338,170,sir_1,R,Channel 2,11
64.00000000000546,0.786290322580668,145,sir_1,R,Channel 3,11
96.0,1.0,120,sir_1,R,Channel 4,11
296.0,0.625,100,sir_1,R,Channel 5,11
217.0,0.4294478527607362,80,sir_1,R,Channel 6,11
226.0,0.3246753246753247,60,sir_1,R,Channel 7,11
231.5000000000001,0.15584415584415634,40,sir_1,R,Channel 8,11
9.63,2.5,400,sir_1,R,CoP,11
