alternative_transition_end_seconds,alternative_transition_start_seconds,clock_offset_seconds,flags,fmg_edges,fmg_gaps,full_fmg_seconds,full_insole_seconds,gi_end_seconds,gt_start_seconds,insole_edges,insole_gaps,invalid_fmg_rows_in_source,invalid_insole_rows_in_source,load_peaks_left,load_peaks_right,matched_edges,max_matched_residual_seconds,missing_fmg_edge_numbers,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,reference_limb,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,trigger_boundary_status,trigger_end_error_seconds
10.52,4.36,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,18.050000000000068,18.050000000000068,1.81,14.43,40,0,7,6,12,12,40,0.010000000000104592,[],52,1.49,sub_1/trial_11_r_complete.png,sub_1,L,segmented_data\sub_1\trial_11_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,8.94,8.19,provisional six-phase fit,0.3412,weak/ambiguous pattern evidence,11,observed,0.0
12.11,5.07,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.220000000000027,20.220000000000027,2.79,15.22,40,0,7,4,11,12,40,0.010000000000104592,[],64,2.29,sub_1/trial_12_l_complete.png,sub_1,R,segmented_data\sub_1\trial_12_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,9.87,8.65,provisional six-phase fit,0.3067,weak/ambiguous pattern evidence,12,observed,0.0
12.11,5.07,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.220000000000027,20.210000000000036,2.79,15.22,40,0,7,6,11,12,40,0.010000000000104592,[],64,2.29,sub_1/trial_12_r_complete.png,sub_1,R,segmented_data\sub_1\trial_12_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,9.87,8.65,provisional six-phase fit,0.3067,weak/ambiguous pattern evidence,12,observed,-0.009999999999990905
12.63,8.97,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.819999999999936,20.83000000000004,3.46,16.59,40,0,7,4,12,12,40,0.010000000000104592,[],45,3.0,sub_1/trial_13_l_complete.png,sub_1,L,segmented_data\sub_1\trial_13_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.16,10.13,provisional six-phase fit,0.3249,weak/ambiguous pattern evidence,13,observed,0.010000000000104592
12.63,8.97,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.819999999999936,20.829999999999927,3.46,16.59,40,0,7,6,12,12,40,0.010000000000104592,[],45,3.0,sub_1/trial_13_r_complete.png,sub_1,L,segmented_data\sub_1\trial_13_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.16,10.13,provisional six-phase fit,0.3249,weak/ambiguous pattern evidence,13,observed,0.009999999999990905
10.85,7.27,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.100000000000023,19.100000000000023,2.53,15.23,40,0,7,4,11,12,40,0.010000000000104592,[],30,2.09,sub_1/trial_14_l_complete.png,sub_1,R,segmented_data\sub_1\trial_14_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,10.85,9.7,provisional six-phase fit,0.386,weak/ambiguous pattern evidence,14,observed,0.0
10.85,7.27,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.100000000000023,19.110000000000014,2.53,15.23,40,0,7,6,11,12,40,0.010000000000104592,[],30,2.09,sub_1/trial_14_r_complete.png,sub_1,R,segmented_data\sub_1\trial_14_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,10.85,9.7,provisional six-phase fit,0.386,weak/ambiguous pattern evidence,14,observed,0.009999999999990905
10.99,6.15,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.25999999999999,20.25,3.28,16.15,40,0,7,4,12,12,40,0.010000000000104592,[],40,2.87,sub_1/trial_15_l_complete.png,sub_1,L,segmented_data\sub_1\trial_15_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,10.99,9.34,provisional six-phase fit,0.3076,weak/ambiguous pattern evidence,15,observed,-0.009999999999990905
10.99,6.15,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,20.25999999999999,20.25,3.28,16.15,40,0,7,6,12,12,40,0.010000000000104592,[],40,2.87,sub_1/trial_15_r_complete.png,sub_1,L,segmented_data\sub_1\trial_15_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,10.99,9.34,provisional six-phase fit,0.3076,weak/ambiguous pattern evidence,15,observed,-0.009999999999990905
12.17,4.77,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,21.8599999999999,21.860000000000014,2.64,15.21,40,0,7,4,11,12,40,0.010000000000104592,[],43,1.76,sub_1/trial_16_l_complete.png,sub_1,R,segmented_data\sub_1\trial_16_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,9.84,8.63,provisional six-phase fit,0.3031,weak/ambiguous pattern evidence,16,observed,1.1368683772161603e-13
