png,source_complete_graph,source_segmented_csv,status,gt_start_seconds,gt_end_seconds
Sub08_H/sir_21/trial_02_r.png,tempgraphs/Sub08_H/sir_21/trial_02_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_r_segmented.csv,created: exact completed-graph display transform,16.36,21.91
Sub08_H/sir_21/trial_03_l.png,tempgraphs/Sub08_H/sir_21/trial_03_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_l_segmented.csv,created: exact completed-graph display transform,16.42,28.16
Sub08_H/sir_21/trial_03_r.png,tempgraphs/Sub08_H/sir_21/trial_03_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_r_segmented.csv,created: exact completed-graph display transform,16.42,28.16
Sub08_H/sir_21/trial_04_l.png,tempgraphs/Sub08_H/sir_21/trial_04_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_l_segmented.csv,created: exact completed-graph display transform,16.67,24.26
Sub08_H/sir_21/trial_04_r.png,tempgraphs/Sub08_H/sir_21/trial_04_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_r_segmented.csv,created: exact completed-graph display transform,16.67,24.26
Sub08_H/sir_21/trial_05_l.png,tempgraphs/Sub08_H/sir_21/trial_05_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_l_segmented.csv,created: exact completed-graph display transform,15.21,21.18
Sub08_H/sir_21/trial_05_r.png,tempgraphs/Sub08_H/sir_21/trial_05_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_r_segmented.csv,created: exact completed-graph display transform,15.21,21.18
Sub08_H/sir_21/trial_06_l.png,tempgraphs/Sub08_H/sir_21/trial_06_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_l_segmented.csv,created: exact completed-graph display transform,16.84,22.5
Sub08_H/sir_21/trial_06_r.png,tempgraphs/Sub08_H/sir_21/trial_06_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_r_segmented.csv,created: exact completed-graph display transform,16.84,22.5
Sub08_H/sir_21/trial_07_l.png,tempgraphs/Sub08_H/sir_21/trial_07_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_l_segmented.csv,created: exact completed-graph display transform,16.75,21.56
Sub08_H/sir_21/trial_07_r.png,tempgraphs/Sub08_H/sir_21/trial_07_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_r_segmented.csv,created: exact completed-graph display transform,16.75,21.56
Sub08_H/sir_21/trial_08_l.png,tempgraphs/Sub08_H/sir_21/trial_08_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_l_segmented.csv,created: exact completed-graph display transform,17.19,22.73
Sub08_H/sir_21/trial_08_r.png,tempgraphs/Sub08_H/sir_21/trial_08_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_r_segmented.csv,created: exact completed-graph display transform,17.19,22.73
Sub08_H/sir_21/trial_09_l.png,tempgraphs/Sub08_H/sir_21/trial_09_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_l_segmented.csv,created: exact completed-graph display transform,15.55,21.95
Sub08_H/sir_21/trial_09_r.png,tempgraphs/Sub08_H/sir_21/trial_09_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_r_segmented.csv,created: exact completed-graph display transform,15.55,21.95
Sub08_H/sir_21/trial_10_l.png,tempgraphs/Sub08_H/sir_21/trial_10_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_10_l_segmented.csv,created: exact completed-graph display transform,15.84,23.16
Sub08_H/sir_21/trial_10_r.png,tempgraphs/Sub08_H/sir_21/trial_10_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_10_r_segmented.csv,created: exact completed-graph display transform,15.84,23.16
Sub08_H/sir_21/trial_11_l.png,tempgraphs/Sub08_H/sir_21/trial_11_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_11_l_segmented.csv,created: exact completed-graph display transform,15.78,21.15
Sub08_H/sir_21/trial_11_r.png,tempgraphs/Sub08_H/sir_21/trial_11_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_11_r_segmented.csv,created: exact completed-graph display transform,15.78,21.15
Sub08_H/sir_21/trial_12_l.png,tempgraphs/Sub08_H/sir_21/trial_12_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_12_l_segmented.csv,created: exact completed-graph display transform,16.37,22.62
Sub08_H/sir_21/trial_12_r.png,tempgraphs/Sub08_H/sir_21/trial_12_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_12_r_segmented.csv,created: exact completed-graph display transform,16.37,22.62
Sub08_H/sir_21/trial_13_l.png,tempgraphs/Sub08_H/sir_21/trial_13_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_13_l_segmented.csv,created: exact completed-graph display transform,15.94,20.82
Sub08_H/sir_21/trial_13_r.png,tempgraphs/Sub08_H/sir_21/trial_13_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_13_r_segmented.csv,created: exact completed-graph display transform,15.94,20.82
Sub08_H/sir_21/trial_14_l.png,tempgraphs/Sub08_H/sir_21/trial_14_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_14_l_segmented.csv,created: exact completed-graph display transform,15.92,22.03
Sub08_H/sir_21/trial_14_r.png,tempgraphs/Sub08_H/sir_21/trial_14_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_14_r_segmented.csv,created: exact completed-graph display transform,15.92,22.03
Sub08_H/sir_21/trial_15_l.png,tempgraphs/Sub08_H/sir_21/trial_15_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_15_l_segmented.csv,created: exact completed-graph display transform,15.79,20.4
Sub08_H/sir_21/trial_15_r.png,tempgraphs/Sub08_H/sir_21/trial_15_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_15_r_segmented.csv,created: exact completed-graph display transform,15.79,20.4
Sub08_H/sir_21/trial_16_l.png,tempgraphs/Sub08_H/sir_21/trial_16_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_16_l_segmented.csv,created: exact completed-graph display transform,16.60,21.7
Sub08_H/sir_21/trial_16_r.png,tempgraphs/Sub08_H/sir_21/trial_16_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_16_r_segmented.csv,created: exact completed-graph display transform,16.60,21.7
Sub08_H/sir_21/trial_17_l.png,tempgraphs/Sub08_H/sir_21/trial_17_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_l_segmented.csv,created: exact completed-graph display transform,16.19,20.75
Sub08_H/sir_21/trial_17_r.png,tempgraphs/Sub08_H/sir_21/trial_17_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_r_segmented.csv,created: exact completed-graph display transform,16.19,20.75
Sub08_H/sir_21/trial_19_l.png,tempgraphs/Sub08_H/sir_21/trial_19_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_l_segmented.csv,created: exact completed-graph display transform,16.27,20.0
Sub08_H/sir_21/trial_19_r.png,tempgraphs/Sub08_H/sir_21/trial_19_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_r_segmented.csv,created: exact completed-graph display transform,16.27,20.0
Sub08_H/sir_21/trial_20_l.png,tempgraphs/Sub08_H/sir_21/trial_20_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_l_segmented.csv,created: exact completed-graph display transform,14.74,20.51
Sub08_H/sir_21/trial_20_r.png,tempgraphs/Sub08_H/sir_21/trial_20_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_r_segmented.csv,created: exact completed-graph display transform,14.74,20.51
Sub01_A/jitu_1/trial_01_l.png,tempgraphs/sub01_a/jitu_1/trial_01_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,21.65,25.56
Sub01_A/jitu_1/trial_01_r.png,tempgraphs/sub01_a/jitu_1/trial_01_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,21.65,25.56
Sub01_A/jitu_1/trial_02_l.png,tempgraphs/sub01_a/jitu_1/trial_02_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,created: exact completed-graph display transform,22.13,25.24
Sub01_A/jitu_1/trial_02_r.png,tempgraphs/sub01_a/jitu_1/trial_02_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,created: exact completed-graph display transform,22.13,25.24
Sub01_A/jitu_1/trial_03_l.png,tempgraphs/sub01_a/jitu_1/trial_03_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,created: exact completed-graph display transform,21.06,24.92
Sub01_A/jitu_1/trial_03_r.png,tempgraphs/sub01_a/jitu_1/trial_03_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,created: exact completed-graph display transform,21.06,24.92
Sub01_A/jitu_1/trial_04_l.png,tempgraphs/sub01_a/jitu_1/trial_04_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,created: exact completed-graph display transform,22.46,25.0
Sub01_A/jitu_1/trial_04_r.png,tempgraphs/sub01_a/jitu_1/trial_04_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,created: exact completed-graph display transform,22.46,25.0
Sub01_A/jitu_1/trial_05_l.png,tempgraphs/sub01_a/jitu_1/trial_05_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,created: exact completed-graph display transform,19.45,23.13
Sub01_A/jitu_1/trial_05_r.png,tempgraphs/sub01_a/jitu_1/trial_05_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,created: exact completed-graph display transform,19.45,23.13
Sub01_A/jitu_1/trial_06_l.png,tempgraphs/sub01_a/jitu_1/trial_06_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,created: exact completed-graph display transform,20.92,25.53
Sub01_A/jitu_1/trial_06_r.png,tempgraphs/sub01_a/jitu_1/trial_06_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,created: exact completed-graph display transform,20.92,25.53
Sub01_A/jitu_1/trial_07_l.png,tempgraphs/sub01_a/jitu_1/trial_07_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,created: exact completed-graph display transform,21.41,23.85
