alignment_method,fmg_qs_samples,fmg_qs_seconds,insole_qs_samples,insole_qs_seconds,local_trial,onset_status,png,record,side,status,subject,sync_status
start and end trigger phase mapping,75,0.75,66,0.66,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_08_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,300,3.0,261,2.61,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_09_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_10_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_11_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_12_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,185,1.85,161,1.61,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_13_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,97,0.97,85,0.85,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_14_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,196,1.96,171,1.71,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_15_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_16_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,258,2.58,225,2.25,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_17_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,161,1.61,141,1.41,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_1/trial_18_r.png,abh_1,R,created,Sub01_H,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_01_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,210,2.1,181,1.81,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_02_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,80,0.8,69,0.69,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_03_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,65,0.65,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_04_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,212,2.12,186,1.86,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_05_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,256,2.56,220,2.2,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_06_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,64,0.64,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_07_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,189,1.89,166,1.66,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_08_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,181,1.81,160,1.6,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_09_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,251,2.51,219,2.19,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_10_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,79,0.79,70,0.7,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_11_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,112,1.12,101,1.01,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_12_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,229,2.29,211,2.11,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_13_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,169,1.69,148,1.48,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_14_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,300,3.0,273,2.73,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_15_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,145,1.45,136,1.36,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_16_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,61,0.61,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_17_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,134,1.34,118,1.18,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_18_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,60,0.6,19,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_19_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,76,0.76,20,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_20_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,245,2.45,206,2.06,21,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_21_l.png,abh_21,L,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,66,0.66,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_01_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,65,0.65,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_02_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,91,0.91,80,0.8,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_03_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,136,1.36,119,1.19,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_04_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,224,2.24,199,1.99,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_05_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,300,3.0,261,2.61,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_06_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,66,0.66,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_07_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,176,1.76,156,1.56,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_08_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,122,1.22,109,1.09,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_09_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,250,2.5,221,2.21,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_10_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,300,3.0,268,2.68,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_11_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,292,2.92,267,2.67,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_12_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,70,0.7,13,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_13_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,277,2.77,245,2.45,14,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_14_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,300,3.0,277,2.77,15,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_15_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,71,0.71,16,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_16_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,126,1.26,103,1.03,17,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_17_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,90,0.9,80,0.8,18,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_18_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,61,0.61,19,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_19_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,75,0.75,77,0.77,20,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_20_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,252,2.52,215,2.15,21,FMG movement onset detected with 0.5 s pre-onset buffer,Sub01_H/abh_21/trial_21_r.png,abh_21,R,created,Sub01_H,trigger count mismatch 42 vs 44
start and end trigger phase mapping,83,0.83,72,0.72,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_01_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,202,2.02,177,1.77,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_02_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_03_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_04_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,184,1.84,161,1.61,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_05_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,127,1.27,111,1.11,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_06_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,232,2.32,203,2.03,7,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_07_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,8,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_08_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,66,0.66,9,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_09_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,65,0.65,10,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_10_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,146,1.46,127,1.27,11,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_11_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,96,0.96,84,0.84,12,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_12_l.png,vipin_1,L,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,90,0.9,82,0.82,1,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_01_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,198,1.98,180,1.8,2,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_02_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,68,0.68,3,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_03_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,75,0.75,68,0.68,4,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_04_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,242,2.42,220,2.2,5,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_05_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
start and end trigger phase mapping,136,1.36,123,1.23,6,FMG movement onset detected with 0.5 s pre-onset buffer,Sub02_A/vipin_1/trial_06_r.png,vipin_1,R,created,Sub02_A,trigger sequence synchronized
