normalized_sslw_percent,fmg_channel_1_mean,fmg_channel_1_standard_deviation,contributing_trace_count
24.4147157191,380.695652174,244.114995557,40
24.7491638796,389.119732441,251.61972681,40
25.0836120401,391.811120401,256.916999201,40
25.4180602007,396.249874582,259.907355801,40
25.7525083612,399.448244147,264.453488711,40
26.0869565217,402.742391304,266.586331698,40
26.4214046823,402.002257525,266.552571842,40
26.7558528428,398.786914716,266.442758074,40
27.0903010033,395.677591973,265.264184146,40
27.4247491639,392.479389632,263.415831442,40
27.7591973244,390.218394649,260.725968859,40
28.0936454849,388.500083612,256.043626303,40
28.4280936455,382.828093645,248.067215358,40
28.762541806,370.267056856,238.498294451,40
29.0969899666,354.246488294,231.919321655,40
29.4314381271,339.881479933,228.496425365,40
29.7658862876,328.008528428,226.744641687,40
30.1003344482,320.174080268,221.562624763,40
30.4347826087,313.407608696,216.262928673,40
30.7692307692,307.057692308,206.978461097,40
31.1036789298,300.00777592,196.49354708,40
31.4381270903,292.711204013,184.50819521,40
31.7725752508,284.115050167,174.253700625,40
32.1070234114,276.011956522,166.774767348,40
32.4414715719,269.189130435,163.422872073,40
32.7759197324,268.147909699,161.146974304,40
33.110367893,269.221906355,157.689803179,40
33.4448160535,272.989548495,153.746389593,40
33.779264214,271.133946488,145.525703966,40
34.1137123746,268.543854515,138.238521071,40
34.4481605351,269.680643813,134.246761324,40
34.7826086957,276.141304348,137.856164511,40
35.1170568562,283.347240803,142.654616923,40
35.4515050167,289.04916388,146.744075026,40
35.7859531773,294.974832776,156.636349313,40
36.1204013378,298.906688963,168.599154284,40
36.4548494983,301.911204013,178.238126846,40
36.7892976589,309.157817726,187.52065422,40
37.1237458194,312.621237458,193.854265926,40
37.4581939799,319.705434783,202.103514843,40
37.7926421405,327.910117057,208.198223849,40
38.127090301,337.025334448,215.959954107,40
38.4615384615,346.75,222.770316316,40
38.7959866221,353.904431438,227.590314036,40
39.1304347826,363.235869565,233.304584398,40
39.4648829431,366.958695652,239.830418147,40
39.7993311037,368.638795987,242.800564965,40
40.1337792642,370.160409699,243.296048283,40
40.4682274247,368.409531773,242.03224508,40
40.8026755853,365.797366221,239.542345071,40
41.1371237458,363.83277592,236.369458967,40
41.4715719064,359.824331104,233.296664335,40
41.8060200669,354.35777592,234.264054137,40
42.1404682274,348.207316054,231.265073111,40
42.474916388,341.250752508,227.176855679,40
42.8093645485,339.960869565,226.115402255,40
43.143812709,338.119481605,224.097241108,40
43.4782608696,336.725543478,220.443823226,40
43.8127090301,329.805100334,215.029533206,40
44.1471571906,320.7659699,209.838333745,40
44.4816053512,317.206688963,208.470174163,40
44.8160535117,312.772784281,206.933109196,40
45.1505016722,308.570568562,202.309996065,40
45.4849498328,300.504431438,194.234235814,40
45.8193979933,293.738294314,185.93677445,40
46.1538461538,287.863461538,179.3154492,40
46.4882943144,285.688168896,176.916470733,40
46.8227424749,286.109197324,177.535867299,40
47.1571906355,286.783361204,177.880533339,40
47.491638796,288.570317726,181.494304998,40
47.8260869565,295.291304348,185.800828111,40
48.1605351171,301.389715719,192.706511604,40
48.4949832776,315.083695652,203.108506934,40
48.8294314381,324.345192308,209.51342985,40
49.1638795987,328.314548495,213.153894608,40
49.4983277592,330.169648829,212.167852496,40
49.8327759197,330.265133779,209.199825503,40
50.1672240803,328.097240803,206.311948979,40
50.5016722408,328.863879599,206.529014886,40
50.8361204013,333.305267559,209.036061312,40
51.1705685619,338.442307692,212.400790821,40
51.5050167224,342.558988294,219.080657793,40
51.8394648829,344.693770903,222.359460837,40
52.1739130435,345.481521739,224.646119815,40
52.508361204,349.840217391,226.516661827,40
52.8428093645,355.218018395,226.707147689,40
53.1772575251,357.201588629,228.60231269,40
53.5117056856,358.496446488,230.33407044,40
53.8461538462,355.448076923,229.174133354,40
54.1806020067,346.299665552,224.974965782,40
54.5150501672,335.530978261,221.774380871,40
54.8494983278,326.769523411,221.753050718,40
55.1839464883,322.401923077,222.297020915,40
55.5183946488,319.970317726,220.753637243,40
55.8528428094,318.681772575,217.045814141,40
56.1872909699,317.007023411,210.32129395,40
56.5217391304,318.594565217,205.504358908,40
56.856187291,320.228177258,200.331649747,40
57.1906354515,319.003929766,191.316670486,40
57.525083612,314.469063545,186.380137636,40
57.8595317726,308.819063545,182.374996322,40
58.1939799331,304.336580268,182.188324577,40
58.5284280936,299.116053512,180.378436068,40
58.8628762542,294.676505017,177.468777789,40
59.1973244147,289.508110368,178.014232492,40
59.5317725753,287.572157191,181.31850578,40
59.8662207358,294.602048495,185.547028766,40
60.2006688963,306.930852843,193.521942077,40
60.5351170569,318.22479097,203.993189358,40
60.8695652174,327.589130435,209.430201399,40
61.2040133779,335.537541806,212.855522682,40
61.5384615385,341.138461538,216.162673102,40
61.872909699,342.180560201,217.860475915,40
62.2073578595,342.702968227,220.623457027,40
62.5418060201,343.670150502,223.209638941,40
62.8762541806,344.320735786,224.894325033,40
63.2107023411,347.624958194,224.738492772,40
63.5451505017,347.058653846,226.158993441,40
63.8795986622,348.609531773,228.532947267,40
64.2140468227,354.348160535,231.80622199,40
64.5484949833,362.961538462,238.346390517,40
64.8829431438,368.365175585,243.463025246,40
65.2173913043,372.620108696,245.998464942,40
65.5518394649,375.088377926,248.030902406,40
65.8862876254,376.573202341,248.38752687,40
66.220735786,374.47111204,243.386315273,40
66.5551839465,369.874623746,237.914218852,40
66.889632107,360.134197324,233.567610491,40
67.2240802676,348.152090301,228.325477757,40
67.5585284281,335.033110368,222.029988625,40
67.8929765886,329.008946488,216.114377682,40
68.2274247492,321.002173913,212.572985199,40
68.5618729097,316.927341137,208.922043399,40
68.8963210702,311.425167224,205.125345749,40
69.2307692308,309.792307692,201.513446187,40
69.5652173913,308.340217391,197.367108538,40
69.8996655518,305.913963211,192.55569365,40
70.2341137124,301.553344482,188.286608118,40
70.5685618729,302.538043478,185.31914158,40
70.9030100334,306.096989967,182.872740896,40
71.237458194,308.52993311,183.233860082,40
71.5719063545,309.710785953,181.418387456,40
71.9063545151,305.015426421,180.859649615,40
