png,source_complete_graph,source_segmented_csv,status,sslw_start_seconds,sslw_end_seconds
Sub08_H/sir_21/trial_17_r.png,tempgraphs/Sub08_H/sir_21/trial_17_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_r_segmented.csv,created: exact completed-graph display transform,10.41,16.19
Sub08_H/sir_21/trial_19_l.png,tempgraphs/Sub08_H/sir_21/trial_19_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_l_segmented.csv,created: exact completed-graph display transform,7.28,16.27
Sub08_H/sir_21/trial_19_r.png,tempgraphs/Sub08_H/sir_21/trial_19_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_r_segmented.csv,created: exact completed-graph display transform,7.28,16.27
Sub08_H/sir_21/trial_20_l.png,tempgraphs/Sub08_H/sir_21/trial_20_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_l_segmented.csv,created: exact completed-graph display transform,8.12,14.74
Sub08_H/sir_21/trial_20_r.png,tempgraphs/Sub08_H/sir_21/trial_20_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_r_segmented.csv,created: exact completed-graph display transform,8.12,14.74
Sub01_A/jitu_1/trial_01_l.png,tempgraphs/sub01_a/jitu_1/trial_01_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,8.19,21.65
Sub01_A/jitu_1/trial_01_r.png,tempgraphs/sub01_a/jitu_1/trial_01_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,8.19,21.65
Sub01_A/jitu_1/trial_02_l.png,tempgraphs/sub01_a/jitu_1/trial_02_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,created: exact completed-graph display transform,8.28,22.13
Sub01_A/jitu_1/trial_02_r.png,tempgraphs/sub01_a/jitu_1/trial_02_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,created: exact completed-graph display transform,8.28,22.13
Sub01_A/jitu_1/trial_03_l.png,tempgraphs/sub01_a/jitu_1/trial_03_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,created: exact completed-graph display transform,7.57,21.06
Sub01_A/jitu_1/trial_03_r.png,tempgraphs/sub01_a/jitu_1/trial_03_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,created: exact completed-graph display transform,7.57,21.06
Sub01_A/jitu_1/trial_04_l.png,tempgraphs/sub01_a/jitu_1/trial_04_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,created: exact completed-graph display transform,18.94,22.46
Sub01_A/jitu_1/trial_04_r.png,tempgraphs/sub01_a/jitu_1/trial_04_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,created: exact completed-graph display transform,18.94,22.46
Sub01_A/jitu_1/trial_05_l.png,tempgraphs/sub01_a/jitu_1/trial_05_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,created: exact completed-graph display transform,6.57,19.45
Sub01_A/jitu_1/trial_05_r.png,tempgraphs/sub01_a/jitu_1/trial_05_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,created: exact completed-graph display transform,6.57,19.45
Sub01_A/jitu_1/trial_06_l.png,tempgraphs/sub01_a/jitu_1/trial_06_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,created: exact completed-graph display transform,14.31,20.92
Sub01_A/jitu_1/trial_06_r.png,tempgraphs/sub01_a/jitu_1/trial_06_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,created: exact completed-graph display transform,14.31,20.92
Sub01_A/jitu_1/trial_07_l.png,tempgraphs/sub01_a/jitu_1/trial_07_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,created: exact completed-graph display transform,12.83,21.41
Sub01_A/jitu_1/trial_07_r.png,tempgraphs/sub01_a/jitu_1/trial_07_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,created: exact completed-graph display transform,12.83,21.41
Sub01_A/jitu_1/trial_08_l.png,tempgraphs/sub01_a/jitu_1/trial_08_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,created: exact completed-graph display transform,11.05,19.0
Sub01_A/jitu_1/trial_08_r.png,tempgraphs/sub01_a/jitu_1/trial_08_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,created: exact completed-graph display transform,11.05,19.0
Sub01_A/jitu_1/trial_09_l.png,tempgraphs/sub01_a/jitu_1/trial_09_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,created: exact completed-graph display transform,7.55,21.43
Sub01_A/jitu_1/trial_09_r.png,tempgraphs/sub01_a/jitu_1/trial_09_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,created: exact completed-graph display transform,7.55,21.43
Sub01_A/jitu_1/trial_10_l.png,tempgraphs/sub01_a/jitu_1/trial_10_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,created: exact completed-graph display transform,10.57,19.64
Sub01_A/jitu_1/trial_10_r.png,tempgraphs/sub01_a/jitu_1/trial_10_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,created: exact completed-graph display transform,10.57,19.64
Sub01_A/jitu_21/trial_01_l.png,tempgraphs/sub01_a/jitu_21/trial_01_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,created: exact completed-graph display transform,10.66,19.67
Sub01_A/jitu_21/trial_01_r.png,tempgraphs/sub01_a/jitu_21/trial_01_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,created: exact completed-graph display transform,10.66,19.67
Sub01_A/jitu_21/trial_02_l.png,tempgraphs/sub01_a/jitu_21/trial_02_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,created: exact completed-graph display transform,6.34,20.2
Sub01_A/jitu_21/trial_02_r.png,tempgraphs/sub01_a/jitu_21/trial_02_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,created: exact completed-graph display transform,6.34,20.2
Sub01_A/jitu_21/trial_03_l.png,tempgraphs/sub01_a/jitu_21/trial_03_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,created: exact completed-graph display transform,7.94,21.84
Sub01_A/jitu_21/trial_03_r.png,tempgraphs/sub01_a/jitu_21/trial_03_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,created: exact completed-graph display transform,7.94,21.84
Sub01_A/jitu_21/trial_04_l.png,tempgraphs/sub01_a/jitu_21/trial_04_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,created: exact completed-graph display transform,8.32,20.34
Sub01_A/jitu_21/trial_04_r.png,tempgraphs/sub01_a/jitu_21/trial_04_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,created: exact completed-graph display transform,8.32,20.34
Sub01_A/jitu_21/trial_05_l.png,tempgraphs/sub01_a/jitu_21/trial_05_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,created: exact completed-graph display transform,13.38,19.51
