fmg_gaps,full_fmg_seconds,full_insole_seconds,gt_start_seconds,insole_gaps,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,review,settled_seconds,side,trial,trigger_end_error_seconds,walk_stage_labels
0,21.539999999999964,21.550000000000182,,0,37,3.38,Sub08_H/sir_21/trial_07_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,7,0.010000000000218279,unverified: no per-trial step-length event annotations
0,22.70999999999981,22.720000000000027,,0,23,4.62,Sub08_H/sir_21/trial_08_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,8,0.010000000000218279,unverified: no per-trial step-length event annotations
0,21.930000000000064,21.940000000000055,,0,39,2.39,Sub08_H/sir_21/trial_09_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,9,0.009999999999990905,unverified: no per-trial step-length event annotations
0,23.15000000000009,23.139999999999873,,0,35,3.04,Sub08_H/sir_21/trial_10_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,10,-0.010000000000218279,unverified: no per-trial step-length event annotations
0,21.12999999999988,21.13000000000011,,0,19,3.04,Sub08_H/sir_21/trial_11_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,11,2.2737367544323206e-13,unverified: no per-trial step-length event annotations
0,22.6099999999999,22.59999999999991,,0,29,3.35,Sub08_H/sir_21/trial_12_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,12,-0.009999999999990905,unverified: no per-trial step-length event annotations
0,20.809999999999945,20.8100000000004,,0,47,2.6,Sub08_H/sir_21/trial_13_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,13,4.547473508864641e-13,unverified: no per-trial step-length event annotations
1,22.019999999999982,22.0,,0,36,3.17,Sub08_H/sir_21/trial_14_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,14,-0.01999999999998181,unverified: no per-trial step-length event annotations
0,20.389999999999873,20.38000000000011,,0,34,2.1,Sub08_H/sir_21/trial_15_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,15,-0.009999999999763531,unverified: no per-trial step-length event annotations
0,21.679999999999836,21.690000000000055,,0,40,3.74,Sub08_H/sir_21/trial_16_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,16,0.010000000000218279,unverified: no per-trial step-length event annotations
0,20.74000000000001,20.740000000000236,,0,29,2.81,Sub08_H/sir_21/trial_17_r_complete.png,sir_21,provisional onset and settling; inspect both sensor groups; timestamp quality review,17.38,R,17,2.2737367544323206e-13,unverified: no per-trial step-length event annotations
3,21.710000000000036,21.720000000000255,,0,41,3.56,Sub08_H/sir_21/trial_18_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,18,0.010000000000218279,unverified: no per-trial step-length event annotations
0,19.98999999999978,19.98999999999978,,0,22,2.81,Sub08_H/sir_21/trial_19_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,19,0.0,unverified: no per-trial step-length event annotations
0,20.48999999999978,20.5,,0,35,2.0,Sub08_H/sir_21/trial_20_r_complete.png,sir_21,final standing not confirmed within recorded trial; timestamp quality review,,R,20,0.010000000000218279,unverified: no per-trial step-length event annotations
