png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub08_H/sir_1/trial_07_l.png,tempgraphs/Sub08_H/sir_1/trial_07_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_l_segmented.csv,created: exact completed-graph display transform,3.34,5.46
Sub08_H/sir_1/trial_07_r.png,tempgraphs/Sub08_H/sir_1/trial_07_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_07_r_segmented.csv,created: exact completed-graph display transform,3.34,5.46
Sub08_H/sir_1/trial_08_l.png,tempgraphs/Sub08_H/sir_1/trial_08_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_l_segmented.csv,created: exact completed-graph display transform,5.32,12.26
Sub08_H/sir_1/trial_08_r.png,tempgraphs/Sub08_H/sir_1/trial_08_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_08_r_segmented.csv,created: exact completed-graph display transform,5.32,12.26
Sub08_H/sir_1/trial_09_l.png,tempgraphs/Sub08_H/sir_1/trial_09_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_l_segmented.csv,created: exact completed-graph display transform,3.95,8.32
Sub08_H/sir_1/trial_09_r.png,tempgraphs/Sub08_H/sir_1/trial_09_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_09_r_segmented.csv,created: exact completed-graph display transform,3.95,8.32
Sub08_H/sir_1/trial_10_l.png,tempgraphs/Sub08_H/sir_1/trial_10_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_l_segmented.csv,created: exact completed-graph display transform,4.32,10.7
Sub08_H/sir_1/trial_10_r.png,tempgraphs/Sub08_H/sir_1/trial_10_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_10_r_segmented.csv,created: exact completed-graph display transform,4.32,10.7
Sub08_H/sir_1/trial_11_l.png,tempgraphs/Sub08_H/sir_1/trial_11_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_11_l_segmented.csv,created: exact completed-graph display transform,3.96,8.29
Sub08_H/sir_1/trial_11_r.png,tempgraphs/Sub08_H/sir_1/trial_11_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_11_r_segmented.csv,created: exact completed-graph display transform,3.96,8.29
Sub08_H/sir_1/trial_12_l.png,tempgraphs/Sub08_H/sir_1/trial_12_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_12_l_segmented.csv,created: exact completed-graph display transform,4.63,11.56
Sub08_H/sir_1/trial_12_r.png,tempgraphs/Sub08_H/sir_1/trial_12_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_12_r_segmented.csv,created: exact completed-graph display transform,4.63,11.56
Sub08_H/sir_1/trial_13_l.png,tempgraphs/Sub08_H/sir_1/trial_13_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_13_l_segmented.csv,created: exact completed-graph display transform,4.23,9.84
Sub08_H/sir_1/trial_13_r.png,tempgraphs/Sub08_H/sir_1/trial_13_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_13_r_segmented.csv,created: exact completed-graph display transform,4.23,9.84
Sub08_H/sir_1/trial_14_l.png,tempgraphs/Sub08_H/sir_1/trial_14_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_14_l_segmented.csv,created: exact completed-graph display transform,4.90,10.81
Sub08_H/sir_1/trial_14_r.png,tempgraphs/Sub08_H/sir_1/trial_14_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_14_r_segmented.csv,created: exact completed-graph display transform,4.90,10.81
Sub08_H/sir_1/trial_15_l.png,tempgraphs/Sub08_H/sir_1/trial_15_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_15_l_segmented.csv,created: exact completed-graph display transform,6.58,9.71
Sub08_H/sir_1/trial_15_r.png,tempgraphs/Sub08_H/sir_1/trial_15_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_15_r_segmented.csv,created: exact completed-graph display transform,6.58,9.71
Sub08_H/sir_1/trial_16_l.png,tempgraphs/Sub08_H/sir_1/trial_16_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_16_l_segmented.csv,created: exact completed-graph display transform,3.44,10.38
Sub08_H/sir_1/trial_16_r.png,tempgraphs/Sub08_H/sir_1/trial_16_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_16_r_segmented.csv,created: exact completed-graph display transform,3.44,10.38
Sub08_H/sir_1/trial_17_l.png,tempgraphs/Sub08_H/sir_1/trial_17_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_l_segmented.csv,created: exact completed-graph display transform,5.84,8.56
Sub08_H/sir_1/trial_17_r.png,tempgraphs/Sub08_H/sir_1/trial_17_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_r_segmented.csv,created: exact completed-graph display transform,5.84,8.56
Sub08_H/sir_1/trial_18_l.png,tempgraphs/Sub08_H/sir_1/trial_18_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_l_segmented.csv,created: exact completed-graph display transform,3.96,9.88
Sub08_H/sir_1/trial_18_r.png,tempgraphs/Sub08_H/sir_1/trial_18_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_r_segmented.csv,created: exact completed-graph display transform,3.96,9.88
Sub08_H/sir_1/trial_19_l.png,tempgraphs/Sub08_H/sir_1/trial_19_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_l_segmented.csv,created: exact completed-graph display transform,3.96,7.28
Sub08_H/sir_1/trial_19_r.png,tempgraphs/Sub08_H/sir_1/trial_19_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_r_segmented.csv,created: exact completed-graph display transform,3.96,7.28
Sub08_H/sir_1/trial_20_l.png,tempgraphs/Sub08_H/sir_1/trial_20_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_l_segmented.csv,created: exact completed-graph display transform,6.37,11.72
Sub08_H/sir_1/trial_20_r.png,tempgraphs/Sub08_H/sir_1/trial_20_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_r_segmented.csv,created: exact completed-graph display transform,6.37,11.72
Sub08_H/sir_1/trial_21_l.png,tempgraphs/Sub08_H/sir_1/trial_21_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_l_segmented.csv,created: exact completed-graph display transform,4.34,6.5
Sub08_H/sir_1/trial_21_r.png,tempgraphs/Sub08_H/sir_1/trial_21_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_r_segmented.csv,created: exact completed-graph display transform,4.34,6.5
Sub08_H/sir_21/trial_01_l.png,tempgraphs/Sub08_H/sir_21/trial_01_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_l_segmented.csv,created: exact completed-graph display transform,8.48,15.62
Sub08_H/sir_21/trial_01_r.png,tempgraphs/Sub08_H/sir_21/trial_01_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_r_segmented.csv,created: exact completed-graph display transform,8.48,15.62
Sub08_H/sir_21/trial_02_l.png,tempgraphs/Sub08_H/sir_21/trial_02_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_l_segmented.csv,created: exact completed-graph display transform,4.23,8.66
Sub08_H/sir_21/trial_02_r.png,tempgraphs/Sub08_H/sir_21/trial_02_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_r_segmented.csv,created: exact completed-graph display transform,4.23,8.66
Sub08_H/sir_21/trial_03_l.png,tempgraphs/Sub08_H/sir_21/trial_03_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_l_segmented.csv,created: exact completed-graph display transform,5.80,10.62
