png,source_segmented_csv,source_complete_graph,status,gi_samples,gi_seconds
Sub08_H/sir_21/trial_02_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_02_r_complete.png,created,54,0.54
Sub08_H/sir_21/trial_03_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_03_l_complete.png,created,121,1.21
Sub08_H/sir_21/trial_03_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_03_r_complete.png,created,121,1.21
Sub08_H/sir_21/trial_04_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_04_l_complete.png,created,51,0.51
Sub08_H/sir_21/trial_04_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_04_r_complete.png,created,51,0.51
Sub08_H/sir_21/trial_05_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_05_l_complete.png,created,109,1.09
Sub08_H/sir_21/trial_05_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_05_r_complete.png,created,109,1.09
Sub08_H/sir_21/trial_06_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_06_l_complete.png,created,42,0.42
Sub08_H/sir_21/trial_06_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_06_r_complete.png,created,42,0.42
Sub08_H/sir_21/trial_07_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_07_l_complete.png,created,56,0.56
Sub08_H/sir_21/trial_07_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_07_r_complete.png,created,56,0.56
Sub08_H/sir_21/trial_08_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_08_l_complete.png,created,50,0.5
Sub08_H/sir_21/trial_08_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_08_r_complete.png,created,50,0.5
Sub08_H/sir_21/trial_09_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_09_l_complete.png,created,39,0.39
Sub08_H/sir_21/trial_09_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_09_r_complete.png,created,39,0.39
Sub08_H/sir_21/trial_10_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_10_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_10_l_complete.png,created,54,0.54
Sub08_H/sir_21/trial_10_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_10_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_10_r_complete.png,created,54,0.54
Sub08_H/sir_21/trial_11_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_11_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_11_l_complete.png,created,108,1.08
Sub08_H/sir_21/trial_11_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_11_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_11_r_complete.png,created,108,1.08
Sub08_H/sir_21/trial_12_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_12_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_12_l_complete.png,created,44,0.44
Sub08_H/sir_21/trial_12_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_12_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_12_r_complete.png,created,44,0.44
Sub08_H/sir_21/trial_13_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_13_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_13_l_complete.png,created,44,0.44
Sub08_H/sir_21/trial_13_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_13_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_13_r_complete.png,created,44,0.44
Sub08_H/sir_21/trial_14_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_14_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_14_l_complete.png,created,40,0.4
Sub08_H/sir_21/trial_14_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_14_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_14_r_complete.png,created,40,0.4
Sub08_H/sir_21/trial_15_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_15_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_15_l_complete.png,created,101,1.01
Sub08_H/sir_21/trial_15_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_15_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_15_r_complete.png,created,101,1.01
Sub08_H/sir_21/trial_16_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_16_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_16_l_complete.png,created,38,0.38
Sub08_H/sir_21/trial_16_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_16_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_16_r_complete.png,created,38,0.38
Sub08_H/sir_21/trial_17_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_17_l_complete.png,created,72,0.72
Sub08_H/sir_21/trial_17_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_17_r_complete.png,created,72,0.72
Sub08_H/sir_21/trial_19_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_19_l_complete.png,created,143,1.43
Sub08_H/sir_21/trial_19_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_19_r_complete.png,created,143,1.43
Sub08_H/sir_21/trial_20_l.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_l_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_20_l_complete.png,created,52,0.52
Sub08_H/sir_21/trial_20_r.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_r_segmented.csv,tempgraphs/Sub08_H/sir_21/trial_20_r_complete.png,created,52,0.52
Sub01_A/jitu_1/trial_01_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_01_l_complete.png,created,89,0.89
Sub01_A/jitu_1/trial_01_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_01_r_complete.png,created,89,0.89
Sub01_A/jitu_1/trial_02_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_02_l_complete.png,created,128,1.28
Sub01_A/jitu_1/trial_02_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_02_r_complete.png,created,128,1.28
Sub01_A/jitu_1/trial_03_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_03_l_complete.png,created,120,1.2
Sub01_A/jitu_1/trial_03_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_03_r_complete.png,created,120,1.2
Sub01_A/jitu_1/trial_04_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_04_l_complete.png,created,92,0.92
Sub01_A/jitu_1/trial_04_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_04_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_04_r_complete.png,created,92,0.92
Sub01_A/jitu_1/trial_05_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_05_l_complete.png,created,112,1.12
Sub01_A/jitu_1/trial_05_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_05_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_05_r_complete.png,created,112,1.12
Sub01_A/jitu_1/trial_06_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_06_l_complete.png,created,73,0.73
Sub01_A/jitu_1/trial_06_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_06_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_06_r_complete.png,created,73,0.73
Sub01_A/jitu_1/trial_07_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_07_l_complete.png,created,44,0.44
Sub01_A/jitu_1/trial_07_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_07_r_complete.png,created,44,0.44
Sub01_A/jitu_1/trial_08_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_08_l_complete.png,created,61,0.61
Sub01_A/jitu_1/trial_08_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_08_r_complete.png,created,61,0.61
Sub01_A/jitu_1/trial_09_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_09_l_complete.png,created,119,1.19
Sub01_A/jitu_1/trial_09_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_09_r_complete.png,created,119,1.19
Sub01_A/jitu_1/trial_10_l.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_10_l_complete.png,created,173,1.73
Sub01_A/jitu_1/trial_10_r.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,tempgraphs/sub01_a/jitu_1/trial_10_r_complete.png,created,173,1.73
Sub01_A/jitu_21/trial_01_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_01_l_complete.png,created,180,1.8
Sub01_A/jitu_21/trial_01_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_01_r_complete.png,created,180,1.8
Sub01_A/jitu_21/trial_02_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_02_l_complete.png,created,109,1.09
Sub01_A/jitu_21/trial_02_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_02_r_complete.png,created,109,1.09
Sub01_A/jitu_21/trial_03_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_03_l_complete.png,created,62,0.62
Sub01_A/jitu_21/trial_03_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_03_r_complete.png,created,62,0.62
Sub01_A/jitu_21/trial_04_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_04_l_complete.png,created,108,1.08
Sub01_A/jitu_21/trial_04_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_04_r_complete.png,created,108,1.08
Sub01_A/jitu_21/trial_05_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_05_l_complete.png,created,84,0.84
Sub01_A/jitu_21/trial_05_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_05_r_complete.png,created,84,0.84
Sub01_A/jitu_21/trial_06_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_06_l_complete.png,created,120,1.2
Sub01_A/jitu_21/trial_06_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_06_r_complete.png,created,120,1.2
Sub01_A/jitu_21/trial_07_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_07_l_complete.png,created,74,0.74
Sub01_A/jitu_21/trial_07_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_07_r_complete.png,created,74,0.74
Sub01_A/jitu_21/trial_08_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_08_l_complete.png,created,96,0.96
Sub01_A/jitu_21/trial_08_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_08_r_complete.png,created,96,0.96
Sub01_A/jitu_21/trial_09_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_09_l_complete.png,created,177,1.77
Sub01_A/jitu_21/trial_09_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_09_r_complete.png,created,177,1.77
Sub01_A/jitu_21/trial_10_l.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_l_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_10_l_complete.png,created,84,0.84
Sub01_A/jitu_21/trial_10_r.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_r_segmented.csv,tempgraphs/sub01_a/jitu_21/trial_10_r_complete.png,created,84,0.84
Sub01_H/abh_1/trial_01_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_01_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_01_l_complete.png,created,47,0.47
Sub01_H/abh_1/trial_01_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_01_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_01_r_complete.png,created,47,0.47
Sub01_H/abh_1/trial_02_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_02_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_02_l_complete.png,created,50,0.5
Sub01_H/abh_1/trial_02_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_02_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_02_r_complete.png,created,50,0.5
Sub01_H/abh_1/trial_03_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_03_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_03_l_complete.png,created,45,0.45
Sub01_H/abh_1/trial_03_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_03_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_03_r_complete.png,created,45,0.45
Sub01_H/abh_1/trial_04_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_04_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_04_l_complete.png,created,50,0.5
Sub01_H/abh_1/trial_04_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_04_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_04_r_complete.png,created,50,0.5
Sub01_H/abh_1/trial_05_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_05_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_05_l_complete.png,created,49,0.49
Sub01_H/abh_1/trial_05_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_05_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_05_r_complete.png,created,49,0.49
Sub01_H/abh_1/trial_06_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_06_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_06_l_complete.png,created,56,0.56
Sub01_H/abh_1/trial_06_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_06_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_06_r_complete.png,created,56,0.56
Sub01_H/abh_1/trial_07_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_07_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_07_l_complete.png,created,45,0.45
Sub01_H/abh_1/trial_07_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_07_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_07_r_complete.png,created,45,0.45
Sub01_H/abh_1/trial_08_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_08_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_08_l_complete.png,created,35,0.35
Sub01_H/abh_1/trial_08_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_08_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_08_r_complete.png,created,35,0.35
Sub01_H/abh_1/trial_09_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_09_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_09_l_complete.png,created,41,0.41
Sub01_H/abh_1/trial_09_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_09_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_09_r_complete.png,created,41,0.41
Sub01_H/abh_1/trial_10_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_10_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_10_l_complete.png,created,38,0.38
Sub01_H/abh_1/trial_10_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_10_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_10_r_complete.png,created,38,0.38
Sub01_H/abh_1/trial_11_l.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_11_l_segmented.csv,tempgraphs/sub01_h/abh_1/trial_11_l_complete.png,created,48,0.48
Sub01_H/abh_1/trial_11_r.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_11_r_segmented.csv,tempgraphs/sub01_h/abh_1/trial_11_r_complete.png,created,48,0.48
