normalized_sssw_percent,display_fmg_channel_1_mean,display_fmg_channel_2_mean,display_fmg_channel_3_mean,display_fmg_channel_4_mean,display_fmg_channel_5_mean,display_fmg_channel_6_mean,display_fmg_channel_7_mean,display_fmg_channel_8_mean,display_cop_mean,display_vgrf_mean,display_fmg_channel_1_standard_deviation,display_fmg_channel_2_standard_deviation,display_fmg_channel_3_standard_deviation,display_fmg_channel_4_standard_deviation,display_fmg_channel_5_standard_deviation,display_fmg_channel_6_standard_deviation,display_fmg_channel_7_standard_deviation,display_fmg_channel_8_standard_deviation,display_cop_standard_deviation,display_vgrf_standard_deviation,fmg_channel_1_contributing_trace_count,fmg_channel_2_contributing_trace_count,fmg_channel_3_contributing_trace_count,fmg_channel_4_contributing_trace_count,fmg_channel_5_contributing_trace_count,fmg_channel_6_contributing_trace_count,fmg_channel_7_contributing_trace_count,fmg_channel_8_contributing_trace_count,cop_contributing_trace_count,vgrf_contributing_trace_count
5.35117056856,193.397247811,214.775427912,156.47907317,116.687120726,110.586109107,120.370067041,62.2704439054,41.6454867777,403.460273584,374.41394076,51.1338358037,57.5804506119,50.6858744749,17.7890711774,46.4815178652,47.0599269827,16.5868064397,12.9006406357,13.4110173887,15.8853635851,40,40,40,40,40,40,40,40,40,40
5.6856187291,190.839045368,213.690396038,155.197964648,115.117513875,109.633229288,120.729613728,61.6404754917,41.1820512847,403.422954548,374.926575868,53.7893358001,59.2266557238,50.982643925,19.9533334373,46.7999796524,49.3530071783,17.1984966593,12.9952557543,13.6957570925,16.6613107602,40,40,40,40,40,40,40,40,40,40
6.02006688963,187.182443028,210.74589414,153.231126552,113.365906371,108.303790434,118.283021361,60.8473926085,40.5998849205,402.739269959,375.400509092,55.9815710976,59.8554505813,50.7746310238,22.0927063527,46.2692177057,49.5918111862,17.5992240765,12.84193745,13.3893121504,16.8369390928,40,40,40,40,40,40,40,40,40,40
6.35451505017,183.449659361,206.55123895,151.21592252,111.416605736,106.150970586,114.700980913,59.9256918806,39.9295767477,402.812821193,375.851319125,58.1238578152,60.03811145,49.7524318453,24.2259913131,45.3362046683,50.8475311567,17.9876124011,12.4703904867,13.7922794807,15.7726115432,40,40,40,40,40,40,40,40,40,40
6.6889632107,180.891122651,203.818626559,149.139095826,109.315790473,104.012770172,112.080521439,58.9901364321,39.1364083802,402.922219045,375.77834279,59.4769023982,60.3512316891,48.037190603,26.4157206619,44.1681026447,52.7765435199,18.0788168058,12.1116805694,14.0794876012,15.1331348932,40,40,40,40,40,40,40,40,40,40
7.02341137124,177.36469539,201.390943296,146.55069538,107.409159787,102.029202419,107.434350479,58.0720008147,38.4256776733,403.012319993,375.815101568,61.254099566,60.4859641456,46.3055901922,28.4435741257,42.8762592659,50.4282725596,17.8525425317,11.9285185429,14.2997000839,14.7964672138,40,40,40,40,40,40,40,40,40,40
7.35785953177,173.991248692,197.390557366,144.045233548,105.47953719,99.660503787,103.456350409,56.9813708298,37.7407568404,401.411850873,375.916863481,62.256204818,59.800428873,45.6291338526,30.6934255968,41.2079926484,48.2596821255,17.8266364762,11.853341332,12.5182018521,14.5473548268,40,40,40,40,40,40,40,40,40,40
7.69230769231,170.698632788,193.836163241,141.740184888,103.325700659,97.1658597406,103.301054567,55.5715111177,36.9547737065,400.903025662,376.095567241,63.3684286117,62.3603654814,45.4357313092,33.0340204457,40.0300825713,51.8088033498,18.2894328332,11.7095022505,12.4592931971,14.3272959951,40,40,40,40,40,40,40,40,40,40
8.02675585284,167.280186055,191.12840925,140.096521023,101.348265889,95.1372286593,103.008883359,54.3646038197,36.3105642731,400.788547559,376.176068932,65.7870410424,65.6833503528,45.2782733547,34.917387685,39.2294240287,55.5189336174,18.826221805,11.6584565745,12.4233512862,14.1767611854,40,40,40,40,40,40,40,40,40,40
8.36120401338,164.996291648,187.756746775,138.069151404,99.2775632035,93.413097531,101.043772292,53.1817175164,35.6011446861,400.853409234,376.641113984,67.5333262619,68.8185133445,45.3629351943,36.9431341241,38.6024447547,57.1945464495,19.7615754931,11.6752510642,12.3406054093,13.9379630159,40,40,40,40,40,40,40,40,40,40
