normalized_sssw_percent,fmg_channel_5_mean,fmg_channel_5_standard_deviation,contributing_trace_count
28.4280936455,169.523913043,202.862817375,40
28.762541806,168.559280936,203.651861096,40
29.0969899666,168.551086957,204.579896694,40
29.4314381271,169.301379599,205.259876159,40
29.7658862876,170.007316054,206.058618188,40
30.1003344482,171.08812709,207.126197076,40
30.4347826087,171.447826087,207.375285408,40
30.7692307692,170.953846154,206.589719896,40
31.1036789298,169.575,204.370276092,40
31.4381270903,167.021153846,202.073380502,40
31.7725752508,166.815301003,200.279351421,40
32.1070234114,165.459782609,197.564335733,40
32.4414715719,162.681103679,194.110633976,40
32.7759197324,158.360869565,190.711949522,40
33.110367893,155.039715719,188.797871142,40
33.4448160535,150.427842809,187.049992032,40
33.779264214,148.185911371,185.756627896,40
34.1137123746,146.343729097,184.492671619,40
34.4481605351,144.522073579,184.098287219,40
34.7826086957,143.083695652,184.000799391,40
35.1170568562,142.309698997,182.781900141,40
35.4515050167,143.560451505,182.777347579,40
35.7859531773,146.694732441,183.786668507,40
36.1204013378,151.575585284,185.905408807,40
36.4548494983,157.859071906,189.038472982,40
36.7892976589,162.893060201,192.292732296,40
37.1237458194,166.783653846,195.191563502,40
37.4581939799,169.693311037,198.274800995,40
37.7926421405,174.156688963,202.59885034,40
38.127090301,178.078302676,206.062725236,40
38.4615384615,182.055769231,208.857469581,40
38.7959866221,185.495526756,211.28208599,40
39.1304347826,189.794565217,214.019096631,40
39.4648829431,194.611956522,218.17575506,40
39.7993311037,197.153428094,221.370296939,40
40.1337792642,199.392976589,224.281733096,40
40.4682274247,201.37132107,226.734087676,40
40.8026755853,201.998494983,228.456411805,40
41.1371237458,202.660200669,230.066846641,40
41.4715719064,204.418185619,231.105408006,40
41.8060200669,207.296655518,232.509319219,40
42.1404682274,207.923745819,233.757476511,40
42.474916388,210.660326087,236.300515295,40
42.8093645485,212.467391304,237.885171753,40
43.143812709,212.608737458,238.377869524,40
43.4782608696,211.77826087,238.587640843,40
43.8127090301,209.583779264,237.937331802,40
44.1471571906,206.729682274,235.862010034,40
44.4816053512,203.410618729,232.835961358,40
44.8160535117,198.677884615,229.033734973,40
45.1505016722,192.17909699,224.462099298,40
45.4849498328,185.775668896,220.797814667,40
45.8193979933,182.194481605,217.961666561,40
46.1538461538,178.253846154,215.116801354,40
46.4882943144,173.146488294,214.243330699,40
46.8227424749,171.808110368,213.699674668,40
47.1571906355,175.70409699,213.727919397,40
47.491638796,179.035284281,215.285484358,40
47.8260869565,180.404347826,218.250200501,40
48.1605351171,179.551588629,221.938936152,40
48.4949832776,179.968227425,224.537317336,40
48.8294314381,180.527341137,226.55175093,40
49.1638795987,181.118896321,227.478975482,40
49.4983277592,181.770150502,227.765240456,40
49.8327759197,181.378929766,226.644548839,40
50.1672240803,179.711287625,224.181817341,40
50.5016722408,177.864506689,222.153899093,40
50.8361204013,178.686747492,221.863639183,40
51.1705685619,180.479974916,222.369333822,40
51.5050167224,181.960075251,223.987551414,40
51.8394648829,183.692391304,226.652316268,40
52.1739130435,185.460326087,229.521799608,40
52.508361204,188.064715719,231.296732611,40
52.8428093645,191.744356187,232.567994569,40
53.1772575251,195.43298495,233.059185888,40
53.5117056856,197.760367893,233.959121504,40
53.8461538462,200.846153846,235.193995685,40
54.1806020067,202.652633779,236.490841013,40
54.5150501672,204.1215301,237.799848587,40
54.8494983278,205.001672241,238.472600831,40
55.1839464883,206.441471572,238.858896109,40
55.5183946488,208.370819398,238.726899291,40
55.8528428094,209.610953177,238.174006015,40
56.1872909699,210.438503344,236.583394719,40
56.5217391304,211.880978261,235.695137217,40
56.856187291,211.620025084,234.64565588,40
57.1906354515,212.080894649,234.936947524,40
57.525083612,210.42909699,234.428566038,40
57.8595317726,207.912040134,234.014045899,40
58.1939799331,205.063963211,232.462365651,40
58.5284280936,201.284866221,230.606645351,40
58.8628762542,196.134448161,227.807802104,40
59.1973244147,189.502257525,225.096541002,40
59.5317725753,185.389799331,222.739253302,40
59.8662207358,186.480016722,219.325714312,40
60.2006688963,186.555769231,216.765658177,40
60.5351170569,187.470735786,216.037356044,40
60.8695652174,186.46576087,215.029456696,40
61.2040133779,184.071153846,213.864090304,40
61.5384615385,181.858653846,211.930210753,40
61.872909699,179.868102007,211.046701878,40
62.2073578595,178.891220736,210.145963024,40
62.5418060201,177.757943144,209.407170448,40
62.8762541806,176.256939799,208.607032055,40
63.2107023411,173.243854515,206.409638702,40
63.5451505017,170.252257525,204.445656833,40
63.8795986622,169.439882943,203.308377842,40
64.2140468227,170.053511706,202.848294275,40
64.5484949833,170.669481605,203.281657827,40
64.8829431438,171.341889632,204.271571138,40
65.2173913043,170.251086957,204.475620652,40
65.5518394649,166.936454849,201.959292425,40
65.8862876254,161.911078595,198.174513381,40
66.220735786,157.15409699,194.88944783,40
66.5551839465,152.014882943,191.865586214,40
66.889632107,145.606688963,189.358004722,40
67.2240802676,139.265217391,187.463573185,40
67.5585284281,132.278511706,185.388634563,40
67.8929765886,126.100919732,182.597069351,40
68.2274247492,121.304473244,178.523781837,40
68.5618729097,115.593979933,173.429327028,40
68.8963210702,109.154598662,166.685014918,40
69.2307692308,102.973076923,159.82406891,40
69.5652173913,95.4625,152.738915549,40
69.8996655518,91.014548495,149.185727554,40
70.2341137124,88.4044314381,147.65094294,40
