baseline,gain,offset,record,side,signal,trial
334.0,0.17182130584192606,60,jitu_1,R,Channel 7,8
243.0,0.19230769230771858,40,jitu_1,R,Channel 8,8
3.19,2.227880330999364,400,jitu_1,R,CoP,8
112.99999999998681,0.06716417910448177,380,jitu_1,R,vGRF,8
198.0,1.0,200,jitu_1,L,Channel 1,9
46.0,1.0,170,jitu_1,L,Channel 2,9
50.000000000001585,1.0,145,jitu_1,L,Channel 3,9
42.0000000000041,1.0,120,jitu_1,L,Channel 4,9
0.0,1.0,100,jitu_1,L,Channel 5,9
76.0,1.0,80,jitu_1,L,Channel 6,9
37.0,1.0,60,jitu_1,L,Channel 7,9
31.999999999998177,1.0,40,jitu_1,L,Channel 8,9
15.64,2.5,400,jitu_1,L,CoP,9
963.4800000000027,0.08,380,jitu_1,L,vGRF,9
636.0,0.3538175046554935,200,jitu_1,R,Channel 1,9
433.00000000000045,0.439560439560439,170,jitu_1,R,Channel 2,9
488.00000000000045,0.44850498338870703,145,jitu_1,R,Channel 3,9
658.0000000000005,0.204841713221606,120,jitu_1,R,Channel 4,9
399.00000000000045,0.25352112676056304,100,jitu_1,R,Channel 5,9
387.00000000000045,0.21276595744680973,80,jitu_1,R,Channel 6,9
548.0000000000005,0.09920634920634955,60,jitu_1,R,Channel 7,9
437.0,0.0847457627118644,40,jitu_1,R,Channel 8,9
3.18,2.461322081575286,400,jitu_1,R,CoP,9
233.0,0.08,380,jitu_1,R,vGRF,9
183.0,1.0,200,jitu_1,L,Channel 1,10
44.0,1.0,170,jitu_1,L,Channel 2,10
49.00000000000091,1.0,145,jitu_1,L,Channel 3,10
43.0,1.0,120,jitu_1,L,Channel 4,10
0.0,1.0,100,jitu_1,L,Channel 5,10
55.000000000000234,1.0,80,jitu_1,L,Channel 6,10
38.0,1.0,60,jitu_1,L,Channel 7,10
33.0,1.0,40,jitu_1,L,Channel 8,10
14.600000000000014,2.5,400,jitu_1,L,CoP,10
1127.6899999999991,0.08,380,jitu_1,L,vGRF,10
555.0,0.4194260485651214,200,jitu_1,R,Channel 1,10
376.0,0.5144694533762058,170,jitu_1,R,Channel 2,10
429.99999999999795,0.5672268907563116,145,jitu_1,R,Channel 3,10
619.0000000000005,0.22222222222222202,120,jitu_1,R,Channel 4,10
313.0000000000034,0.3321033210332096,100,jitu_1,R,Channel 5,10
305.9999999999982,0.28340080971660125,80,jitu_1,R,Channel 6,10
436.0,0.12755102040816332,60,jitu_1,R,Channel 7,10
