normalized_gt_percent,fmg_channel_4_mean,fmg_channel_4_standard_deviation,contributing_trace_count
80.602006689,345.757692308,303.756794498,40
80.9364548495,345.34673913,303.404607036,40
81.27090301,345.235911371,303.078495598,40
81.6053511706,344.927508361,302.823739969,40
81.9397993311,344.6159699,302.583025422,40
82.2742474916,344.378051839,302.348290859,40
82.6086956522,344.12826087,302.076626652,40
82.9431438127,343.858277592,301.796708631,40
83.2775919732,343.676923077,301.589323693,40
83.6120401338,343.514381271,301.402597134,40
83.9464882943,343.363963211,301.206794511,40
84.2809364548,343.175376254,301.044079572,40
84.6153846154,343.017307692,301.03348095,40
84.9498327759,342.775083612,300.896464344,40
85.2842809365,342.626839465,300.684319829,40
85.618729097,342.388795987,300.558602749,40
85.9531772575,342.33770903,300.410590396,40
86.2876254181,342.302675585,300.408282583,40
86.6220735786,342.240551839,300.361723789,40
86.9565217391,342.173913043,300.228534409,40
87.2909698997,342.006688963,300.128954543,40
87.6254180602,341.977591973,300.208464851,40
87.9598662207,342.00923913,300.258469999,40
88.2943143813,342.052926421,300.248713917,40
88.6287625418,342.066137124,300.216898469,40
88.9632107023,342.093102007,300.184803963,40
89.2976588629,342.030434783,300.221455301,40
89.6321070234,342.071697324,300.146037584,40
89.9665551839,341.992391304,300.15262073,40
90.3010033445,341.904264214,300.221237277,40
90.635451505,341.902508361,300.10971915,40
90.9698996656,341.958361204,300.080326879,40
91.3043478261,341.854891304,300.148670368,40
91.6387959866,341.853344482,300.122620851,40
91.9732441472,341.903010033,300.037402543,40
92.3076923077,341.825,300.020992849,40
92.6421404682,341.812750836,299.958878133,40
92.9765886288,341.714632107,299.967010505,40
93.3110367893,341.774874582,299.920420862,40
93.6454849498,341.800752508,299.934068641,40
93.9799331104,341.728511706,299.916794965,40
94.3143812709,341.643896321,299.9145436,40
94.6488294314,341.665133779,299.860509336,40
94.983277592,341.665719064,299.857217954,40
95.3177257525,341.701839465,299.917403039,40
95.652173913,341.701086957,299.874261171,40
95.9866220736,341.691973244,299.967456644,40
96.3210702341,341.685535117,299.905079451,40
96.6555183946,341.647951505,299.854736828,40
96.9899665552,341.465426421,299.750569933,40
97.3244147157,341.434197324,299.77337385,40
97.6588628763,341.405518395,299.645570977,40
97.9933110368,341.351128763,299.519289557,40
98.3277591973,341.361204013,299.545478525,40
98.6622073579,341.286622074,299.545316784,40
98.9966555184,341.238043478,299.559107864,40
99.3311036789,341.162458194,299.362204979,40
99.6655518395,341.042574315,299.341757558,40
100,340.685434043,298.927793651,40
